OrderNumber,Sales Channel,OrderDate,DeliveryDate,DeliveryTime,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Unit Price,Unit Cost,Revenue,Gross Margin
SO - 000226,In-Store,2018-06-15,2018-06-23,8,8,5,198,23,3,871.0,705.51,2613.0,496.[phone]
SO - 000227,In-Store,2018-06-15,2018-07-18,33,1,32,242,5,1,750.4,360.[phone],750.4,390.208
SO - 000228,Wholesale,2018-06-15,2018-06-27,12,27,21,200,14,8,763.[phone],504.[phone],6110.[phone],2077.536
SO - 000229,In-Store,2018-06-15,2018-07-02,17,5,49,304,25,6,844.2,565.614,5065.[phone],1671.[phone]
SO - 000230,In-Store,2018-06-15,2018-07-14,29,2,6,31,27,7,261.3,112.[phone],1829.[phone],1042.587
SO - 000231,Online,2018-06-15,2018-07-16,31,19,47,71,33,2,3999.9,2359.941,7999.8,3279.[phone]
SO - 000232,In-Store,2018-06-15,2018-07-03,18,4,32,250,18,6,1112.2,811.[phone],6673.[phone],1801.[phone]
SO - 000233,In-Store,2018-06-15,2018-07-04,19,10,18,167,2,2,2633.1,1843.[phone],5266.2,1579.[phone]
SO - 000234,Distributor,2018-06-15,2018-07-13,28,22,8,132,4,6,1018.4,631.408,6110.4,2321.[phone]
SO - 000235,In-Store,2018-06-15,2018-06-30,15,1,24,56,21,4,5219.3,3444.[phone],20877.2,7098.248
SO - 000236,Distributor,2018-06-15,2018-07-20,35,21,11,259,26,1,3999.9,2359.941,3999.9,1639.[phone]
SO - 000237,Online,2018-06-16,2018-07-01,15,20,50,341,25,5,1721.9,1084.797,8609.5,3185.[phone]
SO - 000238,In-Store,2018-06-16,2018-07-12,26,10,7,195,37,6,737.0,456.94,4422.0,1680.[phone]
SO - 000239,Online,2018-06-16,2018-07-15,29,19,2,33,40,3,1219.4,695.058,3658.[phone],1573.[phone]
SO - 000240,In-Store,2018-06-16,2018-07-17,31,2,18,279,41,8,891.1,712.[phone],7128.8,1425.[phone]
SO - 000241,In-Store,2018-06-16,2018-07-18,32,7,28,148,9,1,978.2,743.432,978.2,234.[phone]
SO - 000242,In-Store,2018-06-16,2018-07-10,24,11,47,170,17,1,3946.3,1657.446,3946.3,2288.[phone]
SO - 000243,In-Store,2018-06-16,2018-07-06,20,3,27,181,38,2,1299.8,922.858,2599.6,753.884
SO - 000244,Online,2018-06-17,2018-07-24,37,19,21,77,12,4,5815.6,2791.[phone],23262.4,10571.54475
SO - 000245,In-Store,2018-06-17,2018-07-10,23,3,43,122,23,6,1092.[phone],655.[phone],6552.6,2621.04
SO - 000246,Distributor,2018-06-17,2018-07-17,30,24,42,36,18,6,1072.0,643.[phone],6432.0,2572.8
SO - 000247,Online,2018-06-17,2018-07-09,22,17,34,217,16,5,4020.0,2653.[phone],20100.0,6833.[phone]
SO - 000248,Online,2018-06-17,2018-07-15,28,20,37,63,12,4,984.9,669.[phone],3939.6,1260.[phone]
SO - 000249,Distributor,2018-06-17,2018-07-04,17,21,50,341,7,7,227.8,100.232,1594.[phone],892.[phone]
SO - 000250,In-Store,2018-06-17,2018-06-26,9,3,17,36,35,3,3993.[phone],3314.356,11979.6,2036.[phone]
SO - 000251,Online,2018-06-17,2018-07-08,21,12,25,163,26,4,221.1,185.724,884.4,141.[phone]
SO - 000252,Online,2018-06-18,2018-07-14,26,12,21,101,43,6,3356.[phone],2819.628,20140.2,3222.[phone]
SO - 000253,In-Store,2018-06-18,2018-07-15,27,1,35,321,12,1,1701.8,1157.[phone],1701.8,544.[phone]
SO - 000254,In-Store,2018-06-18,2018-07-09,21,3,9,276,8,3,2566.1,2181.185,7698.[phone],1154.[phone]
SO - 000255,In-Store,2018-06-18,2018-06-26,8,6,22,101,5,4,221.1,126.[phone],884.4,380.[phone]
SO - 000256,In-Store,2018-06-18,2018-07-05,17,5,28,248,4,1,1782.2,980.[phone],1782.2,801.[phone]
SO - 000257,Distributor,2018-06-18,2018-07-16,28,24,41,95,35,8,2003.3,801.32,16026.4,9615.84
SO - 000258,Distributor,2018-06-18,2018-07-16,28,20,28,33,5,5,2385.[phone],1502.[phone],11926.[phone],4412.[phone]
SO - 000259,Online,2018-06-18,2018-07-17,29,13,22,12,21,1,2231.1,1784.88,2231.1,446.[phone]
SO - 000260,In-Store,2018-06-18,2018-07-07,19,10,26,119,35,1,1005.0,412.[phone],1005.0,592.95
SO - 000261,Distributor,2018-06-18,2018-07-19,31,23,12,290,40,7,2693.4,1939.248,18853.8,5279.[phone]
SO - 000262,Online,2018-06-18,2018-07-11,23,17,31,110,36,4,1105.5,652.245,4422.0,1813.02
SO - 000263,Online,2018-06-19,2018-07-17,28,17,25,87,39,1,1909.5,1088.415,1909.5,821.085
SO - 000264,Distributor,2018-06-19,2018-06-26,7,21,35,177,38,7,1118.9,850.364,7832.[phone],1879.[phone]
SO - 000265,In-Store,2018-06-19,2018-07-03,14,11,45,94,8,7,1038.5,758.105,7269.5,1962.[phone]
SO - 000266,In-Store,2018-06-19,2018-07-04,15,1,19,126,19,6,6324.8,3948.[phone],31463.2,10571.54475
SO - 000267,In-Store,2018-06-19,2018-07-01,12,3,16,17,9,7,1005.0,502.5,7035.0,3517.5
SO - 000268,In-Store,2018-06-19,2018-07-17,28,3,15,178,2,5,1293.[phone],659.[phone],6465.[phone],3168.[phone]
SO - 000269,In-Store,2018-06-19,2018-07-26,37,1,8,76,36,6,844.2,540.288,5065.[phone],1823.[phone]
SO - 000270,In-Store,2018-06-19,2018-07-14,25,6,27,318,1,4,247.9,195.841,991.6,208.236
SO - 000271,Distributor,2018-06-19,2018-06-28,9,21,12,217,21,7,174.[phone],139.36,1219.4,243.88
SO - 000272,In-Store,2018-06-20,2018-07-17,27,2,30,278,12,6,1025.[phone],707.[phone],6150.6,1906.[phone]
SO - 000273,Distributor,2018-06-20,2018-07-06,16,21,19,341,23,3,3068.6,2301.45,9205.8,2301.45
SO - 000274,Online,2018-06-20,2018-07-11,21,16,44,122,3,2,241.[phone],115.[phone],482.[phone],250.848
SO - 000275,In-Store,2018-06-20,2018-07-17,27,11,24,200,47,1,174.[phone],139.36,247.9,90.50494
SO - 000276,In-Store,2018-06-20,2018-07-13,23,3,10,30,37,2,2505.8,1804.[phone],5011.6,1403.248
SO - 000277,Distributor,2018-06-20,2018-07-20,30,25,35,233,31,7,2599.6,1637.748,18197.2,6732.964
SO - 000278,Online,2018-06-20,2018-06-28,8,18,38,151,28,6,2278.0,1503.48,13668.0,4647.[phone]
SO - 000279,Distributor,2018-06-21,2018-07-21,30,24,31,353,25,2,1092.[phone],589.[phone],2184.[phone],1004.732
SO - 000280,Wholesale,2018-06-21,2018-07-07,16,25,40,43,7,5,1139.0,933.[phone],5695.0,1025.[phone]
SO - 000281,In-Store,2018-06-21,2018-07-10,19,4,9,339,47,2,1675.0,1072.0,3350.0,1206.0
SO - 000282,Wholesale,2018-06-21,2018-07-02,11,26,41,228,26,2,1011.7,687.[phone],2023.4,647.[phone]
SO - 000283,Wholesale,2018-06-21,2018-07-21,30,27,11,128,46,7,938.0,412.72,6566.0,3676.96
SO - 000284,Wholesale,2018-06-21,2018-07-26,35,28,48,55,2,8,2566.1,1052.[phone],20528.8,10571.54475
SO - 000285,Distributor,2018-06-22,2018-07-24,32,24,4,177,33,5,871.0,374.53,4355.0,2482.[phone]
SO - 000286,In-Store,2018-06-22,2018-07-21,29,2,4,81,18,1,2485.[phone],1789.[phone],2485.[phone],695.[phone]
SO - 000287,In-Store,2018-06-22,2018-07-17,25,1,40,365,41,4,2345.0,1922.[phone],9380.0,1688.[phone]
SO - 000288,Online,2018-06-22,2018-07-21,29,15,19,48,27,2,1118.9,749.[phone],2237.8,738.[phone]
SO - 000289,In-Store,2018-06-22,2018-07-02,10,11,24,11,42,4,1996.[phone],1397.[phone],7986.[phone],2395.92
SO - 000290,In-Store,2018-06-22,2018-07-20,28,11,6,127,39,1,710.2,390.[phone],710.2,319.59
SO - 000291,Online,2018-06-22,2018-07-22,30,13,6,201,35,4,3979.8,1790.91,15919.2,8755.[phone]
SO - 000292,In-Store,2018-06-22,2018-07-13,21,8,9,339,28,3,1025.[phone],440.[phone],3075.3,1752.921
SO - 000293,In-Store,2018-06-22,2018-07-09,17,3,3,198,9,7,2519.[phone],1309.[phone],17634.4,8464.512
SO - 000294,Online,2018-06-22,2018-07-25,33,15,36,150,2,7,5031.7,3471.[phone],31463.2,10571.54475
SO - 000295,Online,2018-06-23,2018-07-04,11,19,27,311,46,1,1829.[phone],768.222,1829.[phone],1060.[phone]
SO - 000296,In-Store,2018-06-23,2018-07-22,29,5,29,304,25,5,1072.0,900.48,5360.0,857.[phone]
SO - 000297,In-Store,2018-06-23,2018-07-14,21,5,11,247,32,1,2539.3,1828.296,2539.3,711.[phone]
SO - 000298,In-Store,2018-06-23,2018-07-18,25,11,24,265,41,1,3899.4,2027.688,3899.4,1871.712
SO - 000299,In-Store,2018-06-24,2018-06-30,6,5,38,366,37,3,5045.1,3380.[phone],15135.[phone],4994.[phone]
SO - 000300,Online,2018-06-24,2018-07-15,21,19,38,125,14,8,1005.0,522.6,8040.0,3859.2
SO - 000301,Wholesale,2018-06-24,2018-07-17,23,27,20,182,47,7,2438.8,1219.4,17071.[phone],8535.[phone]
SO - 000302,In-Store,2018-06-25,2018-07-13,18,11,46,152,24,4,3336.6,2035.[phone],13346.4,5205.[phone]
SO - 000303,In-Store,2018-06-25,2018-07-15,20,1,38,256,25,4,1098.8,857.064,4395.2,966.944
SO - 000304,Online,2018-06-25,2018-07-21,26,19,5,66,20,2,1902.8,970.428,3805.6,1864.744
SO - 000305,Online,2018-06-25,2018-07-13,18,17,32,156,33,4,3477.3,2190.699,13909.2,5146.404
SO - 000306,Wholesale,2018-06-26,2018-07-17,21,26,36,200,10,1,2599.6,1481.772,2599.6,1117.828
SO - 000307,Online,2018-06-26,2018-07-22,26,12,1,299,7,1,1078.7,506.989,1078.7,571.711
SO - 000308,Online,2018-06-26,2018-07-19,23,17,22,199,31,5,1045.2,533.052,5226.0,2560.74
SO - 000309,Online,2018-06-26,2018-07-22,26,15,21,157,1,2,1125.[phone],787.[phone],2251.[phone],675.[phone]
SO - 000310,In-Store,2018-06-26,2018-07-18,22,1,14,187,22,8,1105.5,762.795,8844.0,2741.[phone]
SO - 000311,Online,2018-06-26,2018-08-03,38,18,50,84,46,1,2606.3,1668.[phone],2606.3,938.268
SO - 000312,Distributor,2018-06-26,2018-07-11,15,22,41,228,25,8,227.8,95.676,1822.4,1056.[phone]
SO - 000313,Distributor,2018-06-26,2018-07-24,28,22,35,180,29,7,167.5,123.95,1172.5,304.85
SO - 000314,In-Store,2018-06-26,2018-07-11,15,7,21,250,16,3,1145.7,538.479,3437.[phone],1821.[phone]
SO - 000315,In-Store,2018-06-26,2018-07-13,17,4,37,326,36,7,2599.6,2157.[phone],18197.2,3093.[phone]
SO - 000316,Distributor,2018-06-27,2018-07-17,20,24,14,136,18,1,3939.6,1969.8,3939.6,1969.8
SO - 000317,In-Store,2018-06-27,2018-07-21,24,2,18,112,37,8,2881.0,1584.[phone],23048.0,10371.[phone]
SO - 000318,In-Store,2018-06-27,2018-07-06,9,3,22,108,43,2,3852.5,2003.[phone],7705.0,3698.[phone]
SO - 000319,Wholesale,2018-06-27,2018-07-10,13,27,48,56,42,2,1139.0,546.72,2278.0,1184.56
SO - 000320,Distributor,2018-06-27,2018-07-09,12,23,7,195,25,4,2519.[phone],2040.[phone],10076.[phone],1914.[phone]
SO - 000321,In-Store,2018-06-27,2018-07-23,26,9,33,82,42,1,1192.[phone],703.634,1192.[phone],488.[phone]
SO - 000322,In-Store,2018-06-27,2018-07-09,12,5,18,215,14,5,2412.0,1013.04,12060.0,6994.8
SO - 000323,In-Store,2018-06-27,2018-07-22,25,9,6,134,47,7,2479.0,2057.[phone],17353.0,2950.[phone]
SO - 000324,Wholesale,2018-06-27,2018-07-14,17,26,10,322,35,7,1956.4,1330.352,13694.[phone],4382.[phone]
SO - 000325,Online,2018-06-27,2018-07-14,17,15,4,176,42,5,1078.7,722.729,5393.5,1779.[phone]
SO - 000326,In-Store,2018-06-27,2018-07-22,25,6,22,70,26,1,1212.7,945.[phone],1212.7,266.794
SO - 000327,Online,2018-06-27,2018-07-13,16,18,48,252,29,5,978.2,821.688,4891.0,782.[phone]
SO - 000328,In-Store,2018-06-27,2018-07-18,21,4,28,275,45,3,174.[phone],120.[phone],522.6,162.[phone]
SO - 000329,Online,2018-06-27,2018-07-12,15,19,25,226,17,3,1125.[phone],630.[phone],3376.8,1485.792
SO - 000330,Online,2018-06-28,2018-07-11,13,20,49,288,6,6,1065.3,468.[phone],6391.[phone],3579.[phone]
